predicted,actual
3266.74,4815
57246.76,57081
7141.49,7081
69983.0,70431
5290.96,5103
11579.99,9141
5108.48,3862
16314.06,15092
56058.0,56058
55458.48,55377
6294.0,6294
24299.74,24234
2612.0,2612
4513.05,4453
51595.0,51595
63643.8,56991
73916.785,79705
3979.6725,4011
41281.0,41281
54608.0,54608
5104.95,4453
13759.59,14839
8211.52,7918
4500.0,4500
3777.38,3209
3961.0,3961
5102.0,5102
18144.91,13988
6476.543000000001,6213
69168.0,69168
6525.25,5220
4227.74,4038
12719.25,11415
50816.2,51117
51817.0,51817
25470.0,25470
39740.07,39783
12406.56,11319
2517.04,2621
11395.25,9828
4725.77,3938
14982.45,15750
53164.0,53164
43206.38,36712
62696.64,70400
6237.586666666666,6356
2201.0,2201
7517.7,7958
4933.23,4827
8577.93,10301
5268.03,4979
4111.0,4111
5018.0,5018
52970.68,45776
2840.48,2410
8562.38,9867
63979.0,63979
6035.44,5943
6289.41,6271
4111.27,3729
5949.0,5949
58401.7,58315
4005.94,3998
8908.08,8836
6103.65,6109
4045.13,3397
62050.71,60260
5140.522666666667,4455
6229.873999999999,6843
4300.47,4543
77505.08,84075
5979.95,6009
5974.61,6287
2811.12,2821
23655.79,21316
54895.45,53440
4566.35,4354
3878.73,3905
60232.0,68184
70312.41,69244
6428.87,6395
54505.98,51817
54608.0,54608
2730.59,2327
2074.0,2074
2769.65,2271
12603.48,13695
12747.89,13014
6568.0,6568
5053.64,6164
50157.59,39377
39578.41,39499
7420.43,7412
5810.33,5880
12331.97,12454
6079.08,5934
7912.63,5579
7443.03,7484
6280.66,6444
37102.93,35490
61709.16,60978
10924.990833333335,13212
73122.92,61933
59021.0,59021
11441.38,11205
6508.68,6510
4293.5,4229
5512.19,4387
6740.43,5456
4812.103071428572,5282
57920.0,57920
4007.0,4007
3779.14,3153
56595.71,56588
10823.18,11469
32923.0,32923
51595.0,51595
58315.0,58315
44144.0,44144
66063.0,66063
8772.94,7958
9317.43,7462
9032.94,8988
7003.575,7106
4723.4,3010
4544.55,4554
5213.3,4879
6589.43,6578
6275.57,5574
64317.05,62188
3123.24,3090
5366.03,5293
4697.28,4294
6373.69,6502
4371.7635,4541
16998.898666666668,16203
3865.22,3831
55983.0,55983
54777.0,54777
5274.275,5037
12001.6,11069
54608.0,54608
56341.4,55983
71677.76,67004
5987.82,5934
55377.0,55377
61699.23,60508
3582.18,3519
46599.3,47408
49613.0,49613
48335.52,44280
11464.9,11488
16215.57,13978
51280.14,50969
23838.0,23838
10024.1,9788
57674.65,56588
41269.0,41269
10975.893333333335,10018
4707.74,4721
65658.12,80749
5690.78,3536
2361.0,2361
12608.59,13103
3302.09,3236
4094.6,4028
53092.76,58394
4416.0,3998
8717.926666666668,8719
32280.48,29777
71186.8,52715
2775.08,2723
7142.17,6489
16329.31,13528
5985.29,5927
56605.25,56588
2569.07,2456
78847.17,78550
2483.13,3505
5888.0,5888
10325.45,10703
45672.0,45672
35581.74,35532
4619.92,4359
6449.88,11050
42879.36,42521
12369.857999999998,8391
7953.24,7950
6410.16,6163
12114.0,12114
58211.8,58111
6460.78,6461
51890.68,69739
3686.06,3393
7572.03,6122
5211.23,5100
60396.0,60396
68032.07,62188
5220.44,7037
6403.42,5912
65137.76,58315
14238.91,15377
62053.8,57920
14382.83,9736
5639.5,6473
9720.57,10660
5657.52,5177
4636.27,4637
3196.76,2132
13231.27,13641
54195.34,53152
3485.076666666667,4079
5796.86,5790
6947.2955,10374
7069.56,7081
28900.566666666666,27976
20718.51,25978
49505.27,47217
60177.35,75785
5158.99,5177
6961.39,7413
4120.9,4111
2420.63,2410
47554.44,45805
2721.55,2203
62879.06,63218
57498.11,80544
4165.0,4165
3902.89,2480
7109.17,7518
50297.0,50297
4392.06,9178
3213.42,3090
49057.20333333334,49177
3797.04,3397
5105.13,5103
4577.83,4453
41572.09,41269
56588.0,56588
4730.466666666667,7426
51842.19,50361
21599.44,21631
4531.96,4294
4501.0,4501
3094.38,3071
11614.4,8064
9471.81,10891
11505.73,12843
4489.07,5939
